Название,Местоположение,Улица,Юридическое лицо,Адрес сайта,ИНН,На карте
Парк Дружбы,Самара,"ул Гагарина, д 118",МАУ г.о. Самара «Парки Самары»,http://parki-samara.ru,6315856580,[object Object]
Парк Победы,Самара,"ул Аэродромная, д 90",МАУ г.о. Самара «Парки Самары»,http://parki-samara.ru,6315856580,[object Object]
Струковский сад,Самара,ул Красноармейская,МАУ г.о. Самара «Парки Самары»,http://parki-samara.ru,6315856580,[object Object]
Парк им. Ю. Гагарина,Самара,"ул Советской Армии, 181в",МАУ г.о. Самара «Парки Самары»,http://parki-samara.ru,6315856580,[object Object]
Парк «Дружба»,Владимир,"ул Верхняя Дуброва, д 22Д",МАУК «Парк культуры и отдыха «Дружба» г. Владимира,http://park-druzhba.ru,3327103627,[object Object]
Парковая зона «Эко-Берег»,Городской округ город Химки,"ул Совхозная, д 14",МАУК «Объединенная дирекция парков»,http://parki-himki.ru,5047143652,[object Object]
Городской парк «Дубки»,Московская область,"г Химки, Нагорное ш",МАУК «Объединенная дирекция парков»,http://parki-himki.ru,5047143652,[object Object]
Парк культуры и отдыха им. Л. Н. Толстого,Московская область,"г Химки, Ленинский пр-кт, д 2Б",МАУК «Объединенная дирекция парков»,http://parki-himki.ru,5047143652,[object Object]
Амурский дендрарий,Хабаровский край,"г Амурск, 2-я зона промышленного района",Муниципальное бюджетное учреждение культуры  «Амурский городской дендрарий»,http://dendrarium.amursk.ru,2706019286,[object Object]
Парк культуры и отдыха «Дубки»,Санкт-Петербург,"Большой Литейный пер, д 37",Санкт-Петербургское государственное бюджетное  учреждение культуры «Парк культуры и отдыха «Дубки»,http://parkdubki.ru,,[object Object]
Колпинский парк,Санкт-Петербург,,СПб ГБУ «Парк культуры и отдыха г. Колпино»,http://www.pko-kolpino.ru,,[object Object]
Парк скульптуры,Калининград,остров Кант,«Парк скульптуры»,http://www.culture.ru/institutes/www.westrussia.org,,[object Object]
Подольский городской парк культуры и отдыха им. В. В. Талалихина,Городской округ город Подольск,"ул Рабочая, д 5Б",МУП Городского округа Подольск «Парк культуры и отдыха»,http://www.podolskpark.ru,5036001102,[object Object]
Парк «Воронежские озера»,Самара,,МАУ г.о. Самара «Парки Самары»,http://parki-samara.ru/парк-воронежские-озера.html,6315856580,[object Object]
Парк культуры «Первомайский»,Эртильский район,"г Эртиль, ул Сахарников",МКУК «Межпоселенческий центр культуры и досуга Эртильского муниципального района»,http://ertilmckd.ru,,[object Object]
Парк «Шинников»,Воронеж,"ул Ростовская, д 39В",МБУК «Централизованная клубная система» городского округа город Воронеж,,3666214025,[object Object]
Северский природный парк,ЗАТО Северск,"пр-кт Коммунистический,д 45А",МАУ «Северский природный парк»,http://park-seversk.ru,7024016235,[object Object]
Городской парк культуры и отдыха г. Новозыбков,Новозыбков,"ул Гагарина,д 8",МБУК  «Городской Дом культуры» г. Новозыбкова,,3204005122,[object Object]
Михневский парк культуры и отдыха,Ступинский район,"ул Гоголя,д 3",МКУК «Михневский парк культуры и отдыха»,,5045038388,[object Object]
Парк имени Александра Сергеевича Пушкина,Шегарский район,"ул Ленина,д 28",МАУК «КСЦ Шегарского района»,http://ksc.tom.muzkult.ru,7016000062,[object Object]
Большой Розарий парка «Сокольники»,Москва,"просек Лучевой 1-й,д 2А",ГАУК «Парк культуры и отдыха «Сокольники»,http://rozarii.info,,[object Object]
Городской парк г. Лебедянь,Лебедянский район,ул Победы,МБУК «Городской центр культуры и досуга»,,4811008537,[object Object]
Парк «Костино»,Городской округ город Королёв,"ул Дзержинского,д 26",АУК «Деловой и культурный центр «КОСТИНО»,http://kostino.org,5018040532,[object Object]
Городской сад г. Котельнич,Котельнич,"ул Советская,д 132",Муниципальное бюджетное учреждение «Котельничский городской Дом культуры»,,,[object Object]
Перовский парк культуры и отдыха,Москва,"ул Лазо,д 7",ГАУК г. Москвы «Перовский парк культуры и отдыха»,http://perovskiy-park.ru,,[object Object]
Музейно-парковый комплекс «Северное Тушино»,Москва,"ул Свободы,д 56",ГАУК «Музейно-парковый комплекс «Северное Тушино»,http://mosparks.ru/about/severnoe-tushino,,[object Object]
Парк Ораниенбаум,Санкт-Петербург,"пр-кт Дворцовый,д 46",ФГБУК «Государственный музей-заповедник «Петергоф»,http://peterhofmuseum.ru,7819012731,[object Object]
